Target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Data_transparency.started,key_resp_data_transp.started,Data_transparency.stopped,key_resp_data_transp.keys,key_resp_data_transp.rt,key_resp_data_transp.duration,instructions.started,instructions.stopped,trial.started,trial.stopped,target_position_x_y,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,feedback.started,feedback.stopped,instructions_survey.started,instructions_survey.stopped,instructions_ratings.started,instructions_ratings.stopped,survey_ratings.started,survey_ratings.stopped,furcht.response,liebenswert.response,rated_image,survey_gen.started,survey_gen.stopped,age.text,gender.response,survey_games.started,survey_games.stopped,pc_frequency.response,reaction_games_frequency.response,instructions_neuro.started,instructions_neuro.stopped,survey_neuro.started,survey_neuro.stopped,neuro_1_rev.response,neuro_2.response,neuro_3.response,neuro_4_rev.response,survey_fear.started,survey_fear.stopped,specific_fear_spider.response,specific_fear_snake.response,thanks.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
gesicht1,2,14,46,8,,,,,407.6820844000031,,,,,,,,,,406.5304685999872,406.5427875999885,"[300, 0]",[],[],[],[],[],[],[],[],406.54317849999643,406.54845929998555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
schiff1,2,15,47,14,,,,,407.6820844000031,,,,,,,,,,406.54868360000546,406.5610633000033,"[0, 300]",[],[],[],[],[],[],[],[],406.5614203999867,406.5678640999831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
schiff1,3,0,48,14,,,,,407.6820844000031,,,,,,,,,,406.56819210000685,406.5806910000101,"[0, 300]",[],[],[],[],[],[],[],[],406.5815589999838,406.5867852999945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
spinne2,3,1,49,1,,,,,407.6820844000031,,,,,,,,,,406.5869628000073,406.71052389999386,"[-300, -300]",[],[],[],[],[],[],[],[],406.71088530001,406.715260099998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
auto1,3,2,50,12,,,,,407.6820844000031,,,,,,,,,,406.71547190001,406.7287660999864,"[-300, 300]",[],[],[],[],[],[],[],[],406.72913200000767,406.7337591999967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
person2,3,3,51,5,,,,,407.6820844000031,,,,,,,,,,406.7339421999932,406.7464769000071,"[300, 0]",[],[],[],[],[],[],[],[],406.7468695999996,406.7520081999828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
person1,3,4,52,4,,,,,407.6820844000031,,,,,,,,,,406.7521876000101,406.76382180000655,"[300, 0]",[],[],[],[],[],[],[],[],406.76431539998157,406.7691421000054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
gesicht1,3,5,53,8,,,,,407.6820844000031,,,,,,,,,,406.7718281999987,406.7850468000106,"[300, -300]",[],[],[],[],[],[],[],[],406.7854056000069,406.78978520000237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
gruppe1,3,6,54,6,,,,,407.6820844000031,,,,,,,,,,406.7899838000012,406.8036235999898,"[300, 0]",[],[],[],[],[],[],[],[],406.80405040000915,406.8086803999904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
gruppe2,3,7,55,7,,,,,407.6820844000031,,,,,,,,,,406.80889739998383,406.82120700000087,"[-300, -300]",[],[],[],[],[],[],[],[],406.82156099998974,406.82588560000295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
